Sector,Sub-sector,Emissions source definition,Data available through:,source_id,source_name,source_type,iso3_country,original_inventory_sector,start_time,end_time,lat,lon,geometry_ref,gas,emissions_quantity,temporal_granularity,activity,activity_units,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,capacity_factor_units,other1,other1_def,other2,other2_def,other3,other3_def,other4,other4_def,other5,other5_def,other6,other6_def,other7,other7_def,other8,other8_def,other9,other9_def,other10,other10_def,created_date,modified_date
forestry-and-land-use,shrubgrass-fires,"1km by 1km resolution shrubgrass burnt areas aggregated to GADM levels 0, 1 and 2",Emissions source aggregations - unaggregated data available upon request.,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Data not available,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Total Living biomass burned,T CO2,Emissions efficiency factor,unitless,Total live biomass carbon from annual carbon stock mapping,T CO2,Fraction of burned area,unitless,Id: level 1 GADM,N/A,Id: level 2 GADM,N/A,GADM admin level,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
forestry-and-land-use,wetland-fires,"1km by 1km resolution wetland burnt areas aggregated to GADM levels 0, 1 and 2",Emissions source aggregations - unaggregated data available upon request.,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Data not available,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Total Living biomass burned,T CO2,Emissions efficiency factor,unitless,Total live biomass carbon from annual carbon stock mapping,T CO2,Fraction of burned area,unitless,Id: level 1 GADM,N/A,Id: level 2 GADM,N/A,GADM admin level,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
forestry-and-land-use,removals,"1km by 1km resolution natural areas aggregated to GADM levels 0, 1 and 2",Emissions source aggregations. Unaggregated data available upon request.,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Data not available,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Id: level 1 GADM,N/A,Id: level 2 GADM,N/A,GADM admin level,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
forestry-and-land-use,net-forest-land,"1km by 1km resolution net emissions from forest land aggregated to GADM levels 0, 1 and 2",Emissions source aggregations available for download. Most granular data available upon request.,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Data not available,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Id: level 1 GADM,N/A,Id: level 2 GADM,N/A,GADM admin level,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
forestry-and-land-use,net-wetland,"1km by 1km resolution net emissions from wetlands aggregated to GADM levels 0, 1 and 2",Emissions source aggregations available for download. Most granular data available upon request.,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Data not available,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Id: level 1 GADM,N/A,Id: level 2 GADM,N/A,GADM admin level,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
forestry-and-land-use,net-shrubgrass,"1km by 1km resolution net emissions from shrub and grassland aggregated to GADM levels 0, 1 and 2",Emissions source aggregations available for download. Most granular data available upon request.,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Data not available,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Id: level 1 GADM,N/A,Id: level 2 GADM,N/A,GADM admin level,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
agriculture,cropland-fires,"25km by 25km resolution cropland fire areas aggregated to GADM levels 0, 1 and 2",Emissions source aggregations available for download. Most granular data available upon request.,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Data not available,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Id: level 1 GADM,N/A,Id: level 2 GADM,N/A,GADM admin level,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
agriculture,rice-cultivation,"10m by 10m or 500m by 500m rice cultivation areas aggregated to GADM levels 0, 1 and 2",Emissions source aggregations available for download. Most granular data available upon request.,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Data not available,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Total area harvested,hectare (ha),Ratio between quantity of <gas> emitted and total area harvested,Data not available,Data not available,N/A,Data not available,N/A,Id: level 1 GADM,N/A,Id: level 2 GADM,N/A,GADM admin level,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
agriculture,enteric-fermentation-cattle-feedlot,confined-animal-facility,Most granular data already available on data downloads,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Facility classification,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Actual total cattle,animals,Quantity of <gas> emitted per animal head,T of <gas> per animal head,estimated facility size,hectares ,Percent of facility usage,fraction,Year active,N/A,Cattle population estimate,N/A,Potential total milking cattle or beef,animals,Dairy or beef enteric fermentation emission factor,T of CH4 per animal,Dairy total and other cattle,animals,Other cattle enteric fermentation emissions factor,T of CH4 per animal,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
agriculture,manure-management-cattle-feedlot,confined-animal-facility,Most granular data already available for download,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Facility classification,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Actual total cattle,animals,Quantity of <gas> emitted per animal head,T of <gas> per animal head,estimated facility size,hectares ,Percent of facility usage,fraction,Year active,N/A,Cattle population estimate,N/A,Potential total milking cattle or beef,animals,Dairy of beed nitrogen excretion rate,T of N per animal,Dairy total and other cattle,animals,Other cattle nitrogen excretion rate,T of N per animal,Dairy CH4 emissions factor by temperature,T of CH4 per animal,"Beef, other ch4 emissions factor by temperature",T of CH4 per animal,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
agriculture,synthetic-fertilizer-application,"4km by 4km to 10km by 10km synthetic fertilizer applied to crop areas aggregated to GADM levels 0, 1 and 2",Emissions source aggregations available for download. Most granular data available upon request.,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Data not available,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,Total Nitrogen Application in tonnes per hectare,T of fertilizer per hectare,Data not available,N/A,harvested_area,hectares ,Data not available,N/A,Id: level 1 GADM,N/A,Id: level 2 GADM,N/A,GADM admin level,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
waste,solid-waste-disposal,Solid Waste Disposal Site,Most granular data already available for download,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Type of waste facility,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,estimated_annual_incoming_waste,T of waste,Data not available,N/A,Landfill surface area,m2,Data not available,N/A,Metadata source,N/A,Landfill area source,N/A,Native waste id,N/A,Emissions estimation method,N/A,Data not available,N/A,Operating status,N/A,Present landfill gas collection system,N/A,Landfill cover type,N/A,Original reported annual incoming waste,T of waste,Original reported waste in place,T of waste,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
waste,wastewater-treatment-and-discharge,Wastewater Treatement Plant,Most granular data already available for download,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Waste water facility type,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,total_organic_waste_(BOD),T of BOD,Quantity of <gas> emitted per unit of BOD,T of <gas> per T of BOD,Total population served,population served,Biological oxigen demand factor,T of BOD per capita,Dilusion factor,factor,Population served,Served population,Population equivalent,population,Discharge river identity,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
forestry-and-land-use,water-reservoirs,Water Reservoirs,Most granular data already available for download,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Water reservoir type,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,N/A,T of waste,Quantity of <gas> emitted per meter square,T of <gas> per meter square,Reservoir surface area,m2,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
manufacturing,other-manufacturing,Other Manufacturing Plant,Most granular data already available for download,"The internal Climate TRACE identifier for each individual source of emissions. Every distinct emissions source is defined by a unique combination of source name, country, source type, and subsector.","Name of the entity or emissions source that produced the emissions. Where exact names were not available, Climate TRACE has created descriptive names based on source location.",Other manufacturing sub-sector,Corresponds to the ISO 3166-1 alpha-3 specification of the country where the entity is physically located.,Intergovernmental Panel on Climate Change (IPCC) emissions sector to which the source belongs.,"The time using Coordinated Universal Time (UTC) of emissions, as an instance of start time of observation.        ","The time using Coordinated Universal Time (UTC) of emissions, either as an instance of end time of observation.","Approximate latitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.	","Approximate longitude location of the source. When source is an aggregation of smaller emissions sources (e.g county, urban area etc), the latitude centroid of the geometry is provided.",Corresponds to the reference id to the geopackage file present in the downloads. This id allows matching the emissions source location with the location of the emissions source.  ,"Greenhouse gases for which emissions are reported in metric tonnes. Climate TRACE reports emissions from  Carbon Dioxide (CO2), Methane (CH4) and Nitrous oxide (N2O). Emissions in CO2-equivalents are available in the 100 year and 20 year time frame using IPCC Sixth Assessment Report (AR6) Global Warming Potentials.","Quantity of gas emitted in metric tonnes. If reported quantity is zero, it means that gas is not emitted. If reported quantity is empty/null/N-A, data is not yet available.",Resolution of the data available. ,N/A,N/A,Data not available,Data not available,Data not available,N/A,Data not available,N/A,Sector name from original source,N/A,Source of self reported data,N/A,Native id from original source,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Data not available,N/A,Date emissions source was added to the Climate TRACE database. ,Last date on which any updates were made to the dataset for the specific emission source. 
